n,time
100,0.004608100000000004
200,0.0184893
300,0.043299699999999997
400,0.07630800000000001
500,0.11832029999999999
600,0.16760150000000001
700,0.23030899999999999
800,0.3073749
900,0.38311550000000016
1000,0.47850879999999996
1100,0.6602501000000001
1200,0.6932908000000002
1300,0.8208540000000002
1400,0.9519184000000003
1500,1.0957360999999999
1600,1.3600769000000001
1700,1.4766220999999993
1800,1.730720999999999
1900,1.9031874999999996
2000,1.9603843999999988
2100,2.209625300000001
2200,2.430494399999997
2300,2.6084682999999984
2400,3.173960300000001
2500,3.2891841
2600,3.320048700000001
2700,3.8029037999999993
2800,4.085224199999999
2900,4.396718999999997
3000,4.4906571
